player_id,true_segment,cluster_k5
P0000001,Churned-early,0
P0000002,Casual,3
P0000003,Casual,3
P0000004,Casual,0
P0000005,Casual,0
P0000006,Casual,3
P0000007,Churned-early,3
P0000008,Casual,3
P0000009,Casual,0
P0000010,Grinder-F2W,0
P0000011,Casual,0
P0000012,Casual,0
P0000013,Churned-early,3
P0000014,Casual,3
P0000015,Churned-early,3
P0000016,Casual,3
P0000017,Casual,0
P0000018,Churned-early,0
P0000019,Grinder-F2W,2
P0000020,Casual,0
P0000021,Casual,3
P0000022,Casual,0
P0000023,Churned-early,0
P0000024,Casual,0
P0000025,Casual,0
P0000026,Churned-early,3
P0000027,Churned-early,3
P0000028,Casual,0
P0000029,Casual,3
P0000030,Churned-early,3
P0000031,Casual,0
P0000032,Grinder-F2W,0
P0000033,Casual,0
P0000034,Churned-early,3
P0000035,Churned-early,3
P0000036,Grinder-F2W,0
P0000037,Churned-early,3
P0000038,Casual,0
P0000039,Casual,3
P0000040,Casual,0
P0000041,Casual,3
P0000042,Casual,0
P0000043,Casual,0
P0000044,Churned-early,0
P0000045,Churned-early,3
P0000046,Spender,0
P0000047,Churned-early,0
P0000048,Grinder-F2W,0
P0000049,Casual,0
P0000050,Churned-early,3
P0000051,Churned-early,3
P0000052,Grinder-F2W,2
P0000053,Casual,3
P0000054,Spender,2
P0000055,Casual,0
P0000056,Churned-early,3
P0000057,Grinder-F2W,0
P0000058,Churned-early,3
P0000059,Churned-early,3
P0000060,Casual,0
P0000061,Casual,3
P0000062,Casual,3
P0000063,Churned-early,0
P0000064,Churned-early,0
P0000065,Churned-early,3
P0000066,Casual,0
P0000067,Casual,0
P0000068,Whale,1
P0000069,Churned-early,0
P0000070,Casual,0
P0000071,Casual,0
P0000072,Churned-early,0
P0000073,Churned-early,3
P0000074,Casual,3
P0000075,Casual,0
P0000076,Churned-early,3
P0000077,Churned-early,0
P0000078,Casual,3
P0000079,Churned-early,0
P0000080,Casual,3
P0000081,Churned-early,3
P0000082,Grinder-F2W,0
P0000083,Churned-early,3
P0000084,Grinder-F2W,0
P0000085,Casual,3
P0000086,Casual,3
P0000087,Grinder-F2W,2
P0000088,Churned-early,3
P0000089,Casual,0
P0000090,Grinder-F2W,0
P0000091,Casual,3
P0000092,Casual,0
P0000093,Churned-early,3
P0000094,Casual,0
P0000095,Casual,3
P0000096,Churned-early,0
P0000097,Grinder-F2W,0
P0000098,Churned-early,3
P0000099,Casual,3
P0000100,Churned-early,3
P0000101,Churned-early,3
P0000102,Casual,3
P0000103,Churned-early,0
P0000104,Casual,0
P0000105,Casual,3
P0000106,Churned-early,3
P0000107,Casual,3
P0000108,Churned-early,3
P0000109,Churned-early,3
P0000110,Casual,3
P0000111,Casual,0
P0000112,Churned-early,3
P0000113,Churned-early,3
P0000114,Churned-early,3
P0000115,Churned-early,3
P0000116,Casual,3
P0000117,Grinder-F2W,2
P0000118,Grinder-F2W,2
P0000119,Casual,3
P0000120,Grinder-F2W,2
P0000121,Casual,0
P0000122,Grinder-F2W,2
P0000123,Casual,3
P0000124,Casual,3
P0000125,Casual,0
P0000126,Churned-early,3
P0000127,Casual,3
P0000128,Spender,2
P0000129,Casual,0
P0000130,Churned-early,0
P0000131,Casual,3
P0000132,Churned-early,3
P0000133,Casual,3
P0000134,Grinder-F2W,2
P0000135,Churned-early,3
P0000136,Grinder-F2W,0
P0000137,Casual,3
P0000138,Grinder-F2W,2
P0000139,Churned-early,3
P0000140,Grinder-F2W,2
P0000141,Spender,2
P0000142,Churned-early,3
P0000143,Grinder-F2W,0
P0000144,Churned-early,3
P0000145,Casual,0
P0000146,Casual,0
P0000147,Casual,0
P0000148,Churned-early,0
P0000149,Churned-early,3
P0000150,Churned-early,3
P0000151,Casual,0
P0000152,Casual,0
P0000153,Casual,0
P0000154,Casual,3
P0000155,Casual,0
P0000156,Grinder-F2W,2
P0000157,Churned-early,3
P0000158,Casual,0
P0000159,Casual,3
P0000160,Casual,0
P0000161,Casual,3
P0000162,Churned-early,3
P0000163,Churned-early,3
P0000164,Casual,0
P0000165,Casual,0
P0000166,Grinder-F2W,2
P0000167,Churned-early,0
P0000168,Churned-early,0
P0000169,Churned-early,3
P0000170,Casual,0
P0000171,Casual,0
P0000172,Casual,3
P0000173,Churned-early,0
P0000174,Spender,0
P0000175,Grinder-F2W,0
P0000176,Casual,3
P0000177,Casual,0
P0000178,Casual,0
P0000179,Casual,0
P0000180,Casual,3
P0000181,Casual,0
P0000182,Churned-early,3
P0000183,Casual,0
P0000184,Casual,3
P0000185,Grinder-F2W,2
P0000186,Casual,0
P0000187,Casual,3
P0000188,Churned-early,0
P0000189,Casual,3
P0000190,Churned-early,3
P0000191,Churned-early,0
P0000192,Casual,3
P0000193,Churned-early,3
P0000194,Grinder-F2W,0
P0000195,Casual,3
P0000196,Churned-early,3
P0000197,Churned-early,3
P0000198,Casual,0
P0000199,Casual,3
P0000200,Churned-early,0
P0000201,Churned-early,3
P0000202,Casual,0
P0000203,Churned-early,0
P0000204,Casual,3
P0000205,Casual,0
P0000206,Casual,0
P0000207,Churned-early,3
P0000208,Casual,0
P0000209,Grinder-F2W,2
P0000210,Casual,0
P0000211,Churned-early,3
P0000212,Casual,3
P0000213,Casual,0
P0000214,Churned-early,0
P0000215,Casual,0
P0000216,Churned-early,3
P0000217,Casual,3
P0000218,Grinder-F2W,2
P0000219,Churned-early,0
P0000220,Casual,0
P0000221,Casual,0
P0000222,Casual,3
P0000223,Casual,3
P0000224,Churned-early,3
P0000225,Casual,0
P0000226,Churned-early,3
P0000227,Churned-early,0
P0000228,Churned-early,3
P0000229,Grinder-F2W,2
P0000230,Casual,3
P0000231,Churned-early,0
P0000232,Casual,0
P0000233,Casual,3
P0000234,Casual,0
P0000235,Casual,0
P0000236,Churned-early,3
P0000237,Grinder-F2W,0
P0000238,Grinder-F2W,0
P0000239,Grinder-F2W,2
P0000240,Grinder-F2W,2
P0000241,Churned-early,0
P0000242,Churned-early,3
P0000243,Churned-early,3
P0000244,Grinder-F2W,2
P0000245,Churned-early,0
P0000246,Churned-early,3
P0000247,Churned-early,0
P0000248,Casual,0
P0000249,Churned-early,3
P0000250,Casual,0
P0000251,Casual,0
P0000252,Churned-early,3
P0000253,Churned-early,0
P0000254,Casual,3
P0000255,Churned-early,0
P0000256,Casual,0
P0000257,Casual,0
P0000258,Casual,0
P0000259,Casual,0
P0000260,Churned-early,3
P0000261,Casual,0
P0000262,Grinder-F2W,0
P0000263,Churned-early,0
P0000264,Casual,0
P0000265,Casual,0
P0000266,Casual,3
P0000267,Churned-early,0
P0000268,Churned-early,3
P0000269,Casual,0
P0000270,Churned-early,3
P0000271,Casual,3
P0000272,Casual,0
P0000273,Grinder-F2W,0
P0000274,Casual,0
P0000275,Grinder-F2W,0
P0000276,Whale,2
P0000277,Churned-early,0
P0000278,Casual,0
P0000279,Grinder-F2W,2
P0000280,Churned-early,3
P0000281,Churned-early,0
P0000282,Grinder-F2W,0
P0000283,Casual,3
P0000284,Grinder-F2W,0
P0000285,Casual,3
P0000286,Grinder-F2W,2
P0000287,Casual,3
P0000288,Casual,0
P0000289,Casual,0
P0000290,Grinder-F2W,2
P0000291,Casual,0
P0000292,Churned-early,3
P0000293,Grinder-F2W,0
P0000294,Churned-early,0
P0000295,Grinder-F2W,2
P0000296,Churned-early,0
P0000297,Churned-early,3
P0000298,Churned-early,3
P0000299,Casual,3
P0000300,Churned-early,0
P0000301,Churned-early,0
P0000302,Whale,1
P0000303,Casual,0
P0000304,Churned-early,0
P0000305,Casual,3
P0000306,Casual,3
P0000307,Churned-early,0
P0000308,Churned-early,3
P0000309,Churned-early,0
P0000310,Churned-early,3
P0000311,Grinder-F2W,0
P0000312,Casual,0
P0000313,Grinder-F2W,2
P0000314,Casual,3
P0000315,Churned-early,3
P0000316,Casual,0
P0000317,Churned-early,3
P0000318,Casual,3
P0000319,Casual,3
P0000320,Grinder-F2W,2
P0000321,Casual,0
P0000322,Churned-early,3
P0000323,Casual,0
P0000324,Casual,0
P0000325,Grinder-F2W,2
P0000326,Casual,0
P0000327,Churned-early,3
P0000328,Churned-early,0
P0000329,Grinder-F2W,2
P0000330,Churned-early,3
P0000331,Casual,0
P0000332,Casual,3
P0000333,Grinder-F2W,2
P0000334,Casual,0
P0000335,Spender,0
P0000336,Churned-early,3
P0000337,Casual,0
P0000338,Grinder-F2W,0
P0000339,Churned-early,3
P0000340,Spender,2
P0000341,Grinder-F2W,2
P0000342,Grinder-F2W,2
P0000343,Churned-early,3
P0000344,Churned-early,3
P0000345,Casual,3
P0000346,Grinder-F2W,2
P0000347,Churned-early,0
P0000348,Grinder-F2W,0
P0000349,Casual,3
P0000350,Casual,3
P0000351,Churned-early,3
P0000352,Grinder-F2W,2
P0000353,Casual,3
P0000354,Casual,0
P0000355,Churned-early,0
P0000356,Casual,0
P0000357,Casual,0
P0000358,Casual,0
P0000359,Casual,0
P0000360,Churned-early,3
P0000361,Casual,3
P0000362,Churned-early,3
P0000363,Churned-early,3
P0000364,Casual,0
P0000365,Churned-early,3
P0000366,Casual,0
P0000367,Churned-early,3
P0000368,Casual,0
P0000369,Casual,0
P0000370,Grinder-F2W,0
P0000371,Churned-early,3
P0000372,Casual,0
P0000373,Casual,0
P0000374,Grinder-F2W,2
P0000375,Spender,0
P0000376,Churned-early,3
P0000377,Casual,3
P0000378,Casual,0
P0000379,Churned-early,3
P0000380,Casual,3
P0000381,Casual,0
P0000382,Churned-early,3
P0000383,Spender,2
P0000384,Churned-early,3
P0000385,Casual,0
P0000386,Casual,3
P0000387,Churned-early,3
P0000388,Churned-early,0
P0000389,Casual,0
P0000390,Churned-early,0
P0000391,Casual,0
P0000392,Grinder-F2W,2
P0000393,Casual,3
P0000394,Churned-early,3
P0000395,Grinder-F2W,2
P0000396,Casual,0
P0000397,Casual,3
P0000398,Casual,3
P0000399,Grinder-F2W,2
P0000400,Grinder-F2W,0
P0000401,Churned-early,3
P0000402,Casual,3
P0000403,Casual,0
P0000404,Churned-early,3
P0000405,Casual,0
P0000406,Churned-early,3
P0000407,Casual,3
P0000408,Churned-early,0
P0000409,Casual,3
P0000410,Grinder-F2W,2
P0000411,Casual,3
P0000412,Spender,2
P0000413,Churned-early,3
P0000414,Grinder-F2W,0
P0000415,Churned-early,0
P0000416,Churned-early,3
P0000417,Spender,2
P0000418,Grinder-F2W,2
P0000419,Casual,0
P0000420,Churned-early,3
P0000421,Casual,0
P0000422,Churned-early,3
P0000423,Spender,0
P0000424,Casual,0
P0000425,Casual,0
P0000426,Casual,3
P0000427,Churned-early,0
P0000428,Casual,3
P0000429,Casual,0
P0000430,Casual,0
P0000431,Churned-early,3
P0000432,Casual,0
P0000433,Casual,3
P0000434,Churned-early,3
P0000435,Casual,0
P0000436,Casual,3
P0000437,Casual,0
P0000438,Churned-early,0
P0000439,Casual,0
P0000440,Casual,3
P0000441,Grinder-F2W,0
P0000442,Casual,3
P0000443,Grinder-F2W,2
P0000444,Grinder-F2W,2
P0000445,Churned-early,3
P0000446,Churned-early,0
P0000447,Churned-early,3
P0000448,Churned-early,3
P0000449,Casual,0
P0000450,Churned-early,3
P0000451,Spender,2
P0000452,Churned-early,3
P0000453,Grinder-F2W,0
P0000454,Casual,0
P0000455,Casual,3
P0000456,Casual,0
P0000457,Casual,0
