player_id,ab_group,chest_opens,legendary_drops,legendary_drop_rate_player,first_legendary_date,gear_drops,hero_shards_collected,characters_unlocked_from_chests,gems_spent_on_chests
P0000001,variant,0,0,0.0,,0,0,0,0
P0000002,variant,2,0,0.0,,1,14,0,347
P0000003,variant,0,0,0.0,,0,3,0,0
P0000004,variant,1,0,0.0,,1,3,0,199
P0000005,control,0,0,0.0,,0,3,0,2
P0000006,control,0,0,0.0,,0,1,0,1
P0000007,variant,0,0,0.0,,0,0,0,0
P0000008,variant,0,0,0.0,,0,1,0,0
P0000009,variant,3,0,0.0,,1,13,0,734
P0000010,control,1,0,0.0,,0,7,0,225
P0000011,control,0,0,0.0,,0,5,0,3
P0000012,control,0,0,0.0,,0,1,0,1
P0000013,variant,0,0,0.0,,0,1,0,0
P0000014,variant,1,0,0.0,,0,7,0,285
P0000015,variant,0,0,0.0,,0,0,0,0
P0000016,variant,0,0,0.0,,0,0,0,1
P0000017,variant,0,0,0.0,,0,7,0,4
P0000018,control,0,0,0.0,,0,0,0,1
P0000019,variant,7,0,0.0,,2,48,0,1698
P0000020,variant,0,0,0.0,,0,0,0,0
P0000021,variant,1,0,0.0,,1,4,0,248
P0000022,control,1,0,0.0,,1,8,0,263
P0000023,control,0,0,0.0,,0,1,0,1
P0000024,variant,0,0,0.0,,0,1,0,1
P0000025,control,1,0,0.0,,1,7,0,246
P0000026,control,0,0,0.0,,0,1,0,0
P0000027,control,0,0,0.0,,0,1,0,1
P0000028,control,1,0,0.0,,0,4,0,287
P0000029,control,0,0,0.0,,0,2,0,1
P0000030,control,0,0,0.0,,0,0,0,1
P0000031,control,0,0,0.0,,0,2,0,1
P0000032,variant,5,0,0.0,,2,18,0,1301
P0000033,control,1,0,0.0,,1,6,0,242
P0000034,control,0,0,0.0,,0,0,0,0
P0000035,variant,0,0,0.0,,0,0,0,0
P0000036,control,1,0,0.0,,0,11,0,234
P0000037,variant,0,0,0.0,,0,0,0,0
P0000038,variant,1,0,0.0,,0,8,0,278
P0000039,variant,1,1,1.0,2026-03-22,1,9,1,241
P0000040,control,1,0,0.0,,0,4,0,294
P0000041,control,2,1,0.5,2026-03-31,0,10,1,470
P0000042,variant,2,0,0.0,,1,10,0,530
P0000043,variant,1,0,0.0,,0,9,0,251
P0000044,variant,0,0,0.0,,0,0,0,1
P0000045,control,0,0,0.0,,0,0,0,0
P0000046,control,10,0,0.0,,7,45,0,2454
P0000047,control,0,0,0.0,,0,0,0,0
P0000048,control,5,0,0.0,,1,33,0,1197
P0000049,control,0,0,0.0,,0,2,0,2
P0000050,variant,0,0,0.0,,0,0,0,1
P0000051,variant,0,0,0.0,,0,0,0,0
P0000052,control,7,0,0.0,,1,41,0,1715
