player_id,install_date,platform,country,acquisition_channel,is_payer,total_iap_usd,last_active_date,days_active,total_sessions,total_playtime_min,ab_group,total_matches_played,total_wins,win_rate,currency_earned_total,currency_spent_total,gems_earned_total,gems_spent_total,characters_owned,promoted_characters,legendary_count
P0000001,2026-04-07,iOS,IN,Google UAC,False,0.0,2026-04-08,2,3,9.75,variant,4,2,0.5,232,134,5,0,3,0,0
P0000002,2026-03-22,Android,IN,Google UAC,False,0.0,2026-06-08,7,21,92.48,variant,44,16,0.3636,1639,1107,11,347,3,0,0
P0000003,2026-04-20,Android,BR,Google UAC,False,0.0,2026-05-05,8,25,158.61,variant,38,10,0.2632,1865,1292,16,0,3,0,0
P0000004,2026-04-22,iOS,IN,Influencer,False,0.0,2026-05-18,5,14,74.37,variant,35,16,0.4571,1293,923,7,199,3,0,0
P0000005,2026-04-08,iOS,GB,Organic,False,0.0,2026-05-10,8,24,103.27,control,44,20,0.4545,2064,1124,15,2,3,0,0
P0000006,2026-06-20,Android,IN,Google UAC,False,0.0,2026-07-08,7,28,188.85,control,52,12,0.2308,2040,756,11,1,3,0,0
P0000007,2026-05-03,Android,US,Meta Ads,False,0.0,2026-05-03,1,1,2.0,variant,5,1,0.2,132,44,1,0,3,0,0
P0000008,2026-04-01,Android,US,TikTok Ads,False,0.0,2026-04-04,2,6,49.14,variant,10,3,0.3,425,122,4,0,3,0,0
P0000009,2026-03-30,iOS,Other,Apple Search Ads,False,0.0,2026-06-05,9,25,151.28,variant,39,17,0.4359,1676,1305,23,734,3,0,0
P0000010,2026-07-01,Android,GB,Apple Search Ads,False,0.0,2026-07-08,4,22,135.11,control,55,24,0.4364,2049,1087,6,225,3,0,0
P0000011,2026-04-30,Android,US,Cross-promo,False,0.0,2026-07-07,13,52,388.37,control,94,66,0.7021,4908,2307,27,3,4,0,0
P0000012,2026-04-24,Android,IN,Organic,False,0.0,2026-06-09,5,10,54.07,control,25,17,0.68,1088,592,7,1,3,0,0
P0000013,2026-03-21,Android,GB,Meta Ads,False,0.0,2026-03-21,1,3,10.07,variant,8,3,0.375,298,172,1,0,3,0,0
P0000014,2026-03-24,iOS,Other,Google UAC,False,0.0,2026-03-31,6,15,73.12,variant,30,2,0.0667,880,736,12,285,3,0,0
P0000015,2026-04-22,Android,US,Organic,False,0.0,2026-04-22,1,1,4.31,variant,1,0,0.0,75,42,1,0,3,0,0
P0000016,2026-07-04,Android,US,Meta Ads,False,0.0,2026-07-06,2,6,40.36,variant,13,4,0.3077,565,333,3,1,3,0,0
P0000017,2026-06-08,iOS,US,Organic,False,0.0,2026-07-07,4,17,71.4,variant,40,18,0.45,1695,839,16,4,3,0,0
P0000018,2026-04-12,iOS,IN,Meta Ads,False,0.0,2026-04-13,2,7,18.36,control,12,6,0.5,609,241,5,1,3,0,0
P0000019,2026-03-29,Android,IN,TikTok Ads,False,0.0,2026-06-22,23,117,1003.77,variant,293,158,0.5392,11746,6947,50,1698,9,0,0
P0000020,2026-06-04,iOS,GB,Organic,False,0.0,2026-07-07,6,12,60.84,variant,13,9,0.6923,938,381,5,0,3,0,0
P0000021,2026-06-03,Android,AU,Organic,False,0.0,2026-07-04,6,14,111.48,variant,28,6,0.2143,1080,729,8,248,3,0,0
P0000022,2026-06-19,Android,DE,Organic,False,0.0,2026-06-30,5,15,99.82,control,22,16,0.7273,1325,734,11,263,3,0,0
P0000023,2026-07-07,iOS,US,Organic,False,0.0,2026-07-07,1,1,4.27,control,5,3,0.6,154,73,1,1,3,0,0
P0000024,2026-06-04,iOS,PH,Apple Search Ads,False,0.0,2026-06-28,5,12,100.99,variant,15,8,0.5333,910,500,7,1,3,0,0
P0000025,2026-04-18,Android,US,Organic,False,0.0,2026-05-24,5,16,121.04,control,21,9,0.4286,1334,986,7,246,3,0,0
P0000026,2026-05-24,iOS,US,Apple Search Ads,False,0.0,2026-05-24,1,4,10.63,control,5,1,0.2,311,141,4,0,3,0,0
P0000027,2026-05-10,Android,BR,Cross-promo,False,0.0,2026-05-10,1,3,20.43,control,5,0,0.0,237,105,1,1,3,0,0
P0000028,2026-03-10,Android,US,TikTok Ads,False,0.0,2026-05-10,6,21,113.45,control,45,29,0.6444,1803,947,11,287,3,0,0
P0000029,2026-03-22,Android,BR,Google UAC,False,0.0,2026-06-15,4,11,39.81,control,19,4,0.2105,788,315,8,1,3,0,0
P0000030,2026-04-25,Android,US,Organic,False,0.0,2026-04-25,1,5,28.77,control,8,0,0.0,252,153,3,1,3,0,0
P0000031,2026-03-27,Android,GB,Organic,False,0.0,2026-04-06,3,8,33.79,control,23,15,0.6522,835,522,4,1,3,0,0
P0000032,2026-05-11,Android,GB,Organic,False,0.0,2026-06-23,13,61,586.7,variant,135,83,0.6148,6088,4040,24,1301,5,0,0
P0000033,2026-04-23,Android,AU,Organic,False,0.0,2026-07-01,12,34,209.31,control,60,22,0.3667,2745,1446,25,242,4,0,0
P0000034,2026-03-30,Android,Other,Google UAC,False,0.0,2026-03-30,1,4,12.06,control,11,4,0.3636,453,264,4,0,3,0,0
P0000035,2026-06-04,iOS,MX,Organic,False,0.0,2026-06-05,2,3,16.46,variant,4,1,0.25,216,81,2,0,3,0,0
P0000036,2026-06-27,iOS,US,Apple Search Ads,False,0.0,2026-07-08,5,15,151.88,control,41,33,0.8049,2013,1177,7,234,3,0,0
P0000037,2026-03-28,iOS,US,Google UAC,False,0.0,2026-03-28,1,3,29.12,variant,4,1,0.25,211,77,0,0,3,0,0
P0000038,2026-03-22,Android,MX,TikTok Ads,False,0.0,2026-04-23,7,28,196.37,variant,67,33,0.4925,2676,1316,14,278,4,0,0
P0000039,2026-03-20,Android,GB,Organic,False,0.0,2026-05-10,5,10,69.8,variant,17,4,0.2353,714,558,7,241,4,0,1
P0000040,2026-04-03,Android,Other,Meta Ads,False,0.0,2026-06-05,7,20,158.5,control,43,17,0.3953,1434,892,9,294,3,0,0
P0000041,2026-03-20,iOS,US,Apple Search Ads,False,0.0,2026-05-07,11,37,190.32,control,63,2,0.0317,2244,1290,22,470,5,0,1
P0000042,2026-05-01,Android,US,Google UAC,False,0.0,2026-06-19,8,27,176.62,variant,50,35,0.7,2620,1491,15,530,3,0,0
P0000043,2026-04-12,Android,DE,Meta Ads,False,0.0,2026-05-25,5,15,89.68,variant,29,13,0.4483,1429,977,14,251,3,0,0
P0000044,2026-03-19,iOS,GB,Organic,False,0.0,2026-03-19,1,2,4.0,variant,2,1,0.5,100,73,3,1,3,0,0
P0000045,2026-05-11,Android,PH,Organic,False,0.0,2026-05-11,1,1,6.19,control,2,0,0.0,51,21,1,0,3,0,0
P0000046,2026-06-20,Android,BR,Meta Ads,True,7.87,2026-07-08,10,50,353.55,control,132,85,0.6439,5731,4307,645,2454,6,0,0
P0000047,2026-04-02,iOS,BR,TikTok Ads,False,0.0,2026-04-03,2,3,10.82,control,4,2,0.5,256,71,0,0,3,0,0
P0000048,2026-06-09,iOS,US,Google UAC,False,0.0,2026-07-07,13,83,693.77,control,249,81,0.3253,8342,4845,32,1197,7,0,0
P0000049,2026-07-01,iOS,FR,TikTok Ads,False,0.0,2026-07-05,4,12,68.25,control,23,14,0.6087,992,354,7,2,3,0,0
P0000050,2026-06-24,iOS,GB,Google UAC,False,0.0,2026-06-24,1,2,9.03,variant,3,1,0.3333,108,43,5,1,3,0,0
P0000051,2026-05-15,Android,US,Organic,False,0.0,2026-05-15,1,2,13.93,variant,3,0,0.0,162,122,1,0,3,0,0
P0000052,2026-04-17,iOS,US,TikTok Ads,False,0.0,2026-06-30,25,162,1441.86,control,451,237,0.5255,16852,9547,75,1715,11,0,0
P0000053,2026-06-05,iOS,DE,Meta Ads,False,0.0,2026-06-27,6,13,96.21,control,22,3,0.1364,879,503,4,0,3,0,0
P0000054,2026-05-15,iOS,US,Organic,True,71.36,2026-07-08,24,133,1072.98,control,322,160,0.4969,12900,15589,7831,14255,17,1,1
P0000055,2026-05-17,Android,GB,Meta Ads,False,0.0,2026-07-05,5,11,56.16,variant,27,17,0.6296,1254,619,16,3,3,0,0
P0000056,2026-05-15,iOS,PH,Meta Ads,False,0.0,2026-05-16,2,3,17.37,variant,6,2,0.3333,254,69,3,1,3,0,0
P0000057,2026-06-20,iOS,FR,Organic,False,0.0,2026-07-06,12,74,672.12,control,211,112,0.5308,7472,4340,37,461,7,0,1
P0000058,2026-04-29,iOS,US,TikTok Ads,False,0.0,2026-04-30,2,4,9.33,variant,6,1,0.1667,249,106,2,0,3,0,0
P0000059,2026-05-25,Android,IN,Organic,False,0.0,2026-05-25,1,2,4.0,variant,6,1,0.1667,159,251,1,221,3,0,0
P0000060,2026-04-22,iOS,IN,Organic,False,0.0,2026-05-28,7,21,114.19,control,41,21,0.5122,2218,1211,9,1,3,0,0
P0000061,2026-07-05,iOS,IN,Google UAC,False,0.0,2026-07-06,2,6,54.55,variant,13,4,0.3077,468,191,2,0,3,0,0
P0000062,2026-06-07,iOS,PH,Meta Ads,False,0.0,2026-06-15,4,10,54.36,control,27,4,0.1481,781,782,8,589,3,0,0
P0000063,2026-03-11,Android,GB,Organic,False,0.0,2026-03-11,1,2,11.63,control,4,2,0.5,197,50,2,1,3,0,0
P0000064,2026-05-02,iOS,GB,Organic,False,0.0,2026-05-13,2,4,13.97,control,9,4,0.4444,331,232,4,0,3,0,0
P0000065,2026-04-26,Android,NG,Google UAC,False,0.0,2026-04-28,2,3,16.67,variant,5,1,0.2,170,98,7,0,3,0,0
P0000066,2026-03-29,Android,US,Meta Ads,False,0.0,2026-07-06,3,4,27.15,variant,10,6,0.6,441,205,6,1,3,0,0
P0000067,2026-05-22,Android,US,Meta Ads,False,0.0,2026-05-29,3,9,60.62,control,19,9,0.4737,835,433,4,0,3,0,0
P0000068,2026-05-16,Android,CA,Meta Ads,True,900.71,2026-07-05,41,360,3569.32,control,1117,796,0.7126,44118,76047,70892,70615,84,11,7
P0000069,2026-05-20,Android,FR,Meta Ads,False,0.0,2026-05-20,1,1,2.77,variant,6,5,0.8333,199,94,4,0,3,0,0
P0000070,2026-06-14,Android,IN,Cross-promo,False,0.0,2026-07-08,4,14,128.26,control,30,16,0.5333,1275,667,7,279,3,0,0
P0000071,2026-03-14,Android,US,Google UAC,False,0.0,2026-06-19,9,27,147.69,control,47,17,0.3617,2038,928,10,208,3,0,0
P0000072,2026-05-10,Android,CA,Google UAC,False,0.0,2026-05-10,1,1,6.46,control,3,2,0.6667,110,71,3,0,3,0,0
