player_id,true_segment
P0000001,Churned-early
P0000002,Casual
P0000003,Casual
P0000004,Casual
P0000005,Casual
P0000006,Casual
P0000007,Churned-early
P0000008,Casual
P0000009,Casual
P0000010,Grinder-F2W
P0000011,Casual
P0000012,Casual
P0000013,Churned-early
P0000014,Casual
P0000015,Churned-early
P0000016,Casual
P0000017,Casual
P0000018,Churned-early
P0000019,Grinder-F2W
P0000020,Casual
P0000021,Casual
P0000022,Casual
P0000023,Churned-early
P0000024,Casual
P0000025,Casual
P0000026,Churned-early
P0000027,Churned-early
P0000028,Casual
P0000029,Casual
P0000030,Churned-early
P0000031,Casual
P0000032,Grinder-F2W
P0000033,Casual
P0000034,Churned-early
P0000035,Churned-early
P0000036,Grinder-F2W
P0000037,Churned-early
P0000038,Casual
P0000039,Casual
P0000040,Casual
P0000041,Casual
P0000042,Casual
P0000043,Casual
P0000044,Churned-early
P0000045,Churned-early
P0000046,Spender
P0000047,Churned-early
P0000048,Grinder-F2W
P0000049,Casual
P0000050,Churned-early
P0000051,Churned-early
P0000052,Grinder-F2W
P0000053,Casual
P0000054,Spender
P0000055,Casual
P0000056,Churned-early
P0000057,Grinder-F2W
P0000058,Churned-early
P0000059,Churned-early
P0000060,Casual
P0000061,Casual
P0000062,Casual
P0000063,Churned-early
P0000064,Churned-early
P0000065,Churned-early
P0000066,Casual
P0000067,Casual
P0000068,Whale
P0000069,Churned-early
P0000070,Casual
P0000071,Casual
P0000072,Churned-early
P0000073,Churned-early
P0000074,Casual
P0000075,Casual
P0000076,Churned-early
P0000077,Churned-early
P0000078,Casual
P0000079,Churned-early
P0000080,Casual
P0000081,Churned-early
P0000082,Grinder-F2W
P0000083,Churned-early
P0000084,Grinder-F2W
P0000085,Casual
P0000086,Casual
P0000087,Grinder-F2W
P0000088,Churned-early
P0000089,Casual
P0000090,Grinder-F2W
P0000091,Casual
P0000092,Casual
P0000093,Churned-early
P0000094,Casual
P0000095,Casual
P0000096,Churned-early
P0000097,Grinder-F2W
P0000098,Churned-early
P0000099,Casual
P0000100,Churned-early
P0000101,Churned-early
P0000102,Casual
P0000103,Churned-early
P0000104,Casual
P0000105,Casual
P0000106,Churned-early
P0000107,Casual
P0000108,Churned-early
P0000109,Churned-early
P0000110,Casual
P0000111,Casual
P0000112,Churned-early
P0000113,Churned-early
P0000114,Churned-early
P0000115,Churned-early
P0000116,Casual
P0000117,Grinder-F2W
P0000118,Grinder-F2W
P0000119,Casual
P0000120,Grinder-F2W
P0000121,Casual
P0000122,Grinder-F2W
P0000123,Casual
P0000124,Casual
P0000125,Casual
P0000126,Churned-early
P0000127,Casual
P0000128,Spender
P0000129,Casual
P0000130,Churned-early
P0000131,Casual
P0000132,Churned-early
P0000133,Casual
P0000134,Grinder-F2W
P0000135,Churned-early
P0000136,Grinder-F2W
P0000137,Casual
P0000138,Grinder-F2W
P0000139,Churned-early
P0000140,Grinder-F2W
P0000141,Spender
P0000142,Churned-early
